method	samples	SNVs	clusters	coverage	seed	ARI	RI	dist	recall	precision	inferred_clusters
DECIFER	3	500	4	200	10	0.965376475573	0.987190380762	0.00638299185185	0.949035241588	1.0	5
DECIFER	3	500	4	200	11	0.88140680745	0.955623246493	0.00486183333333	0.911076794389	0.910842365958	4
DECIFER	3	500	4	200	12	1.0	1.0	0.0324229362963	1.0	1.0	5
DECIFER	3	500	4	200	13	0.983536601532	0.993779559118	0.0578610833333	0.979469928003	0.996067397768	8
DECIFER	3	500	4	200	14	1.0	1.0	0.00727636666667	1.0	1.0	4
DECIFER	3	500	4	200	15	0.994517099855	0.997947895792	0.00312714333333	0.995883847316	0.995883847316	4
DECIFER	3	500	4	200	16	1.0	1.0	0.00191215	1.0	1.0	4
DECIFER	3	500	4	200	17	0.995080840147	0.998156312625	0.00840502222222	0.992646353551	1.0	5
DECIFER	3	500	4	200	18	0.989325098068	0.996008016032	0.00381925833333	0.991695368075	0.992270282457	4
DECIFER	3	500	4	200	19	0.957594646577	0.984080160321	0.004812125	0.967749160134	0.968678943155	4
DECIFER	3	500	4	200	2	0.861080782369	0.94920240481	0.00717285925926	0.865024154589	0.926012756421	5
DECIFER	3	500	4	200	20	0.985618175919	0.994581162325	0.0301157	0.97876830997	0.999935635439	7
DECIFER	3	500	4	200	3	0.963217840818	0.98625250501	0.003949	0.972195373413	0.972540045767	4
DECIFER	3	500	4	200	4	0.923137020521	0.971270541082	0.02529642	0.940531326386	0.943992510814	6
DECIFER	3	500	4	200	5	0.99486068954	0.998076152305	0.00622068888889	0.992313851081	1.0	5
DECIFER	3	500	4	200	6	0.925015741825	0.971983967936	0.0318874074074	0.943339671899	0.94397858479	5
DECIFER	3	500	4	200	7	0.990009212789	0.996280561122	0.0215302824242	0.985071745705	1.0	7
